Q1316094	James Kwalia
Q9142183	Agnes Jebet Tirop
Q1597839	Kimani Maruge
Q25390759	Joyciline Jepkosgei
Q963542	Paul Wekesa
Q4955600	Philo Ikonya
Q1683438	Alan Fletcher
Q2411792	Johanna Omolo
Q3182608	Mohamed Amin
Q3566180	Wanuri Kahiu
Q3828154	Lawrence Olum
Q49275	Ory Okolloh
Q329861	Abraham Chebii
Q400658	Ahmad Hassan Abdullah
Q434093	Caroline Kilel
Q982715	Robert Ouko
Q1355236	Felix Limo
Q442315	Lydia Cheromei
Q455318	Ruth Bosibori
Q607937	Tom Nyariki
Q2378523	John Muiruri
Q15631446	Malaika Firth
Q1765181	Jairus Kipchoge Birech
Q25706802	Amos Kibitok
Q1918860	Meja Mwangi
Q2466072	Paul Korir
Q3052556	Emmanuel Ake
Q4355545	Ali Mazrui
Q16527737	Alfred Kipketer
Q17811836	Ann Njogu
Q21935586	Kipyegon Bett
Q433643	Simon Shaw
Q746257	Jason Dunford
Q3310660	Margaret Ogola
Q3877354	Nitin Ganatra
Q5147387	Collins Injera
Q5998146	Richard Murunga
Q1063132	Ian Duncan
Q1323172	Winfred Omwakwe
Q3029664	Titus Mulama
Q3088469	Musa Otieno
Q965426	Sammy Alex Mutahi
Q1799372	Laban Rotich
Q727320	Evans Cheruiyot
Q1313733	Michael Kipyego
Q1364046	Joseph Mutua
Q1380118	James Kwambai
Q1388124	Sammy Kitwara
Q3112764	Willis Ochieng
Q62470310	Peter Tabichi
Q28728053	Sabrina Simader
Q27757003	Celliphine Chespol
Q817588	Benjamin Kiptoo
Q19799156	Mark Korir
Q1753869	Silas Silvius Njiru
Q16572116	Lilian Kasait Rengeruk
Q366230	Suleiman Bilali
Q3101807	George Odhiambo
Q3161245	James Kiplagat Magut
Q3161411	James Situma
Q3136393	Patrick Oboya
Q3959024	Shailja Patel
Q447468	Susan Chepkemei
Q472062	Hasan Mahboob
Q513136	John Nzau Mwangangi
Q533928	Lucas Rotich
Q658851	Chris Sande
Q726030	Alex Kipchirchir
Q198508	Viola Kibiwot
Q331413	Paul Malakwen Kosgei
Q451012	Wilson Chebet
Q456420	Philes Ongori
Q710506	Evans Rutto
Q1399224	Robert Kiprono Cheruiyot
Q2074332	Peter Cheruiyot Kirui
Q22583016	Fatuma Abdulkadir Adan
Q4735277	Alphas Kishoyian
Q16935146	David Ochieng
Q137387	Josephat Ndambiri
Q267948	Simon Kemboi
Q401714	Dickson Chumba
Q714869	Rodgers Rop
Q47541897	Nice Nailantei Leng'ete
Q57984014	Abraham Kiptum
Q16068400	Francis Kahata
Q922817	Duncan Kibet
Q1033005	Tejinder Virdee
Q1434363	Ibrahim Hussein
Q459402	Lucy Wangui
Q3080361	Luke Kipkosgei
Q21621159	Thomas Deng
Q22097089	Vera Songwe
Q24953791	Ptolemy Slocum
Q26702189	Nana Kagga
Q1585997	Haron Keitany
Q388005	Cosima von Bonin
Q459391	Grace Momanyi
Q578997	Allan Wanga
Q2629925	Mary Oyaya
Q2130457	Ayub Masika
Q435494	Alice Timbilil
Q16212465	Abraham Kipchirchir Rotich
Q16212532	Betsy Saina
Q20051084	John Kibet Koech
Q26203953	Evans Kiplagat Barkowet
Q433863	Elizabeth Furse
Q513472	Yvonne Adhiambo Owuor
Q773197	Auma Obama
Q3031123	Tareq Mubarak Taher
Q3301438	Maurice Sunguti
Q3467360	Samson Kimobwa
Q4885974	Ben Kane
Q1690776	Joan Root
Q2150305	Richard Hynes
Q3070406	Jamal Mohammed
Q5216357	Daniel Adams-Ray
Q287226	Japheth Kimutai
Q533551	Peninah Arusei
Q628094	William Kipsang
Q945837	Paul Biwott
Q1361282	Sammy Korir
Q1395025	Kamoya Kimeu
Q1395641	Ismael Kombich
Q1687579	Stephen Kwelio Chemlany
Q2328893	Moyez Gulamhussein Vassanji
Q94705	Elkanah Angwenyi
Q455031	Dekha Ibrahim Abdi
Q976256	Vincent Chepkok
Q4941993	Boniface Ontuga Mweresa
Q413350	Ajuma Nasenyana
Q1044548	Caroline Rotich
Q14475736	Winny Chebet
Q7027639	Nick Okoth
Q16527628	Alexander Lerionka Sampao
Q15613296	David Owino
