Q43895173	Servier (Egypt)
Q50037239	International Drug Agency For Pharmaceutical Industry (Egypt)
Q30261829	Vacsera (Egypt)
Q30261864	International Consultants (Egypt)
Q30261910	Mimar Engineering Consultancy (Egypt)
Q30263877	Mobica (Egypt)
Q30338816	IBM Egypt Business Support Services
Q93481466	First Wood
Q1276270	EBC
Q5403583	ethio telecom
Q2845718	Anbessa City Bus Service Enterprise
Q16878216	Ethiopian Postal Service
Q1270344	Marathon Motors Engineering
Q7103764	Oromia International Bank
Q19364991	Cooperative Bank of Oromia
Q19979222	Mekelle Farms
Q4829925	Awash International Bank
Q16950751	SouthWest Energy
Q30256967	GeoSAS (Ethiopia)
Q30271836	Precise Consult International (Ethiopia)
Q1419926	South African Broadcasting Corporation
Q905998	Sasol
Q1813361	MTN Group
Q3472954	Nando's
Q1965898	Naspers
Q1576610	Standard Bank
Q2811992	Wimpy
Q1367885	Eskom
Q541076	AngloGold Ashanti
Q2449525	Transnet Freight Rail
Q481472	Sappi
Q779252	Mondi Group
Q1155790	DStv
Q1818970	Telkom
Q974875	Thawte Consulting
Q1187008	Denel
Q2751701	Nedbank
Q4689878	African Parks Network
Q3643636	Shosholoza Meyl
Q7565435	South African Breweries
Q2685228	Armscor
Q693184	Glass Sport Motors
Q847484	Sanlam
Q7178851	PetroSA
Q1719217	Koöperatieve Wijnbouwers Vereniging van Zuid-Afrika Bpkt
Q1507228	Harmony Gold
Q1434734	Passenger Rail Agency of South Africa
Q1534597	Gold Fields
Q4164819	Chicken Licken
Q1857639	Shoprite
Q7885459	Union Carriage & Wagon
Q1206693	Development Bank of Southern Africa
Q117849	Pretoria Portland Cement Company
Q1916123	Mediclinic International
Q2750588	Media24
Q8033997	Woolworths
Q3022429	Denel Dynamics
Q3297791	Massmart
Q857015	Bidvest Group
Q4807838	Aspen Pharmacare
Q4916492	Birkin Cars
Q6000236	Illovo Sugar
Q2894574	Bell Equipment
Q820804	Transnet
Q3056765	Steers
Q5453738	First Rand
Q1617134	Superformance
